Added 24_25 free 	 kodi-pvr-dvbviewer
Added 24_25 free 	 kodi-pvr-dvblink
Added 24_25 free 	 kodi-pvr-demo
Added 24_25 free 	 kodi-pvr-argustv
Added 24_25 free 	 kodi-peripheral-joystick
Added 24_25 free 	 kodi-inputstream-adaptive
Added 24_25 free 	 fs-uae-launcher
Added 24_25 free 	 fs-uae
Added 24_25 nonfree 	 EmptyEpsilon
Added 24_25 nonfree 	 dwarffortress
Added 24_25 free 	 chromium-freeworld
Added 24_25 nonfree 	 cannonball
Added 23_24 free 	 xt7-player-mpv
Added 23_24 free 	 vdr-weatherforecast
Added 23_24 free 	 vdr-tvguideng
Added 23_24 free 	 vdr-plex
Added 23_24 free 	 vdr-mpv
Added 23_24 free 	 telegram-desktop
Added 23_24 nonfree 	 rpmfusion-nonfree-appstream-data
Added 23_24 free 	 rpmfusion-free-remix-kickstarts
Added 23_24 free 	 rpmfusion-free-appstream-data
Added 23_24 free 	 nvidia-video-codec-sdk
Added 23_24 free 	 lightspark
Added 23_24 free 	 ffms2
Added 23_24 nonfree 	 fdkaac
Added 23_24 nonfree 	 fdk-aac
Added 23_24 free 	 chromium-libs-media-freeworld
Added 23_24 free 	 bcg729
Added 23_24 free 	 aegisub
Added 23_24 free 	 acoustid-fingerprinter
Added 22_23 free 	 zboy
Added 22_23 free 	 vdr-xineliboutput
Added 22_23 free 	 tvheadend
Added 22_23 free 	 simplescreenrecorder
Added 22_23 free 	 rfpkg-minimal
Added 22_23 free 	 rfpkg
Added 22_23 free 	 qtav
Added 22_23 free 	 qt5-qtwebengine-freeworld
Added 22_23 free 	 qmplay2
Added 22_23 free 	 obs-studio
Added 22_23 free 	 mp3splt-gtk
Added 22_23 free 	 mp3splt
Added 22_23 free 	 mp3fs
Added 22_23 free 	 mp3diags
Added 22_23 nonfree 	 Mosaic
Added 22_23 free 	 minitube
Added 22_23 free 	 miam-player
Added 22_23 free 	 lives
Added 22_23 free 	 libmp3splt
Added 22_23 free 	 libdvbcsa
Added 22_23 free 	 libde265
Added 22_23 free 	 kodi-platform
Added 22_23 nonfree 	 kisslicer
